SRR32172062	66106
SRR32172063	55504
SRR32172064	70532
SRR32172065	77238
SRR32172069	84766
SRR32172073	78826
SRR32172074	70200
SRR32172075	59884
SRR32172076	62448
SRR32172077	39134
SRR32172078	45840
SRR32172079	35308
SRR32172080	63278
SRR32172081	13954
SRR32172082	24506
SRR32172083	58760
SRR32172084	85666
SRR32172085	80362
SRR32172086	119946
SRR32172087	68724
SRR32172088	49072
SRR32172089	40384
SRR32172090	56824
SRR32172091	61704
SRR32172092	45394
SRR32172093	88150
SRR32172094	69114
SRR32172095	57934
SRR32172096	59756
SRR32172097	88704
SRR32172098	68378
SRR32172099	59090
SRR32172100	56100
SRR32172101	59250
SRR32172102	50218
SRR32172103	38842
SRR32172104	37868
SRR32172105	46838
SRR32172106	11704
SRR32172107	84508
SRR32172108	100722
SRR32172109	90020
SRR32172110	44802
SRR32172111	63980
SRR32172112	38172
SRR32172113	19572
SRR32172114	70186
SRR32543252	22154
SRR32543253	29970
SRR32543254	84974
SRR32543255	32646
SRR32543256	30636
SRR32543258	49920
SRR32543259	38890
SRR32543260	30348
SRR32543261	38052
SRR32543262	37496
SRR32543263	27174
SRR32543264	31938
SRR32543265	46216
SRR32543266	31350
SRR32543267	45178
SRR32543269	42246
SRR32543270	39970
SRR32543271	34886
SRR32543272	42284
SRR32543273	46820
SRR32543274	41420
SRR32543275	61168
SRR32543348	35120
SRR32543349	39722
SRR32543552	43134
SRR32543553	66792
SRR32543554	60208
SRR32543555	40332
SRR32543564	43680
SRR32543592	50758
SRR32543593	38956
SRR32543594	33734
SRR32543595	77628
